label,message
spam,URGENT: Your SIM card KYC is incomplete. Your outgoing calls will be stopped in 24 hrs. Call customer care helpline at 1800-7902583243 or +91-396 immediately.
ham,Your flight booking reference Rahul from Mumbai to Delhi is confirmed for departure at 12.
spam,"Credit card limit increased to Rs. 5,00,000 without income proof! Claim your pre-approved card now: http://card-upgrade8543065371.xyz or WhatsApp +91-193."
ham,Watch this funny clip: https://youtu.be/Aditya
ham,Can you share the assignment PDF with me?
ham,Happy birthday bro! Have an awesome year ahead!
spam,"Credit card limit increased to Rs. 5,00,000 without income proof! Claim your pre-approved card now: http://card-upgrade7991348278.xyz or WhatsApp +91-128."
ham,Your flight booking reference Rahul from Mumbai to Delhi is confirmed for departure at 8.
spam,URGENT: Your bank account has been temporarily locked due to suspicious activity. Verify immediately: https://secure-bank-verify577.com/login
ham,Your order from Zomato is on its way. Delivery partner is moving towards your location.
spam,Congratulations! You have won Rs. 175 in the international lottery. Claim your reward now: http://claim-prize2331022.xyz/bonus
spam,URGENT: Your SIM card KYC is incomplete. Your outgoing calls will be stopped in 24 hrs. Call customer care helpline at 1800-9240169589 or +91-660 immediately.
ham,"Bhai, call me at +91-Soham as soon as possible."
ham,Receipt for your recent payment of Rs. Sneha to Electric Utility Services.
spam,Security Alert! Unauthorized login attempt detected from IP 825. Confirm your password here: http://2849571/account/update
spam,Security Alert! Unauthorized login attempt detected from IP 997. Confirm your password here: http://4680108/account/update
ham,"Hey dad, reached the station safely, booking cab now."
spam,Your parcel delivery has failed due to missing street address. Update your address within 12 hours: http://courier-address-fix8189839482.top or call driver +91-227.
spam,URGENT: Your SIM card KYC is incomplete. Your outgoing calls will be stopped in 24 hrs. Call customer care helpline at 1800-7664108474 or +91-375 immediately.
ham,Happy birthday bro! Have an awesome year ahead!
spam,Earn $5000 weekly working from home with no experience needed! Sign up today: http://quick-cash-scheme805.biz/register
spam,URGENT: Your SIM card KYC is incomplete. Your outgoing calls will be stopped in 24 hrs. Call customer care helpline at 1800-9817902470 or +91-408 immediately.
ham,"Congratulations on getting the job offer, so proud of you!"
ham,Your monthly mobile postpaid bill of Rs. 8663 is due on 958739. Pay via Airtel Thanks App to avoid late charges.
spam,FINAL WARNING: Your email account will be permanently deactivated within 24 hours. Click to reactivate: https://mail-security-desk913.net/verify
spam,URGENT: Your SIM card KYC is incomplete. Your outgoing calls will be stopped in 24 hrs. Call customer care helpline at 1800-9644418391 or +91-892 immediately.
spam,"Dear SBI user, your YONO account has been blocked due to unverified PAN card. Please update immediately: http://bit.ly/sbi-yono-update8549629103 or call +91-111."
ham,"Hey team, the sprint planning session is confirmed for Vikram at 10:00 AM."
ham,"Dear customer, cash withdrawal of Rs. 9374 from ATM at 957997 was successful. - ICICI Bank"
spam,"Dear customer, your loan of Rs. 3,50,000 is approved at 2% interest rate. No CIBIL score required. Call loan officer at +91-7881848712 to disburse funds."
ham,"Dear Customer, your A/C ending 11964 is credited with Rs. 457848 on 4219. Avail Bal: Rs. 67261. - SBI"
ham,"Bhai, call me at +91-Rahul as soon as possible."
spam,Your parcel delivery has failed due to missing street address. Update your address within 12 hours: http://courier-address-fix7927202627.top or call driver +91-700.
ham,Receipt for your recent payment of Rs. Sneha to Electric Utility Services.
ham,"Good morning, here is the updated presentation deck for our team demonstration."
ham,Reminder: The weekly engineering standup will start in 15 minutes on Google Meet.
ham,Hey are you coming to class today? Professor is taking attendance.
spam,"Credit card limit increased to Rs. 5,00,000 without income proof! Claim your pre-approved card now: http://card-upgrade9997350112.xyz or WhatsApp +91-976."
spam,"Dear consumer, your electricity power will be disconnected tonight at 9:30 PM because your previous month bill was not updated. Please call our electricity officer at +91-7320799197 immediately."
spam,Your parcel delivery has failed due to missing street address. Update your address within 12 hours: http://courier-address-fix9417653213.top or call driver +91-392.
spam,Your pending invoice #730.pdf is ready for download. Click here: https://billing-doc5728575.com/invoice.exe
ham,"Hey team, the sprint planning session is confirmed for Rohan at 10:00 AM."
ham,"Congratulations on getting the job offer, so proud of you!"
ham,"Dear Customer, your A/C ending 7757 is credited with Rs. 615579 on 8621. Avail Bal: Rs. 37876. - SBI"
spam,"Dear consumer, your electricity power will be disconnected tonight at 9:30 PM because your previous month bill was not updated. Please call our electricity officer at +91-7365281574 immediately."
spam,"Credit card limit increased to Rs. 5,00,000 without income proof! Claim your pre-approved card now: http://card-upgrade9552556689.xyz or WhatsApp +91-305."
ham,Receipt for your recent payment of Rs. Rohan to Electric Utility Services.
spam,Crypto Alert: Deposit 0.1 BTC and receive 1.0 BTC within 24 hours guaranteed! Join: http://crypto-doubler182.top/invest
spam,Earn $5000 weekly working from home with no experience needed! Sign up today: http://quick-cash-scheme155.biz/register
ham,Here is the shared project document: https://docs.google.com/document/d/projSneha - please review.
ham,Can you share the assignment PDF with me?
spam,FINAL WARNING: Your email account will be permanently deactivated within 24 hours. Click to reactivate: https://mail-security-desk244.net/verify
ham,"Hi Sneha, let's catch up for lunch today around 1:00 PM if you're free."
ham,Your OTP for online transaction of Rs. 10238 at Amazon is 781647. Valid for 10 mins. Do not share OTP with anyone. - HDFC Bank
spam,Crypto Alert: Deposit 0.1 BTC and receive 1.0 BTC within 24 hours guaranteed! Join: http://crypto-doubler273.top/invest
ham,"Please call me at +91-Vikram immediately, need some help."
ham,Here is the shared project document: https://docs.google.com/document/d/projSameer - please review.
ham,Here is the shared project document: https://docs.google.com/document/d/projSneha - please review.
ham,"Congratulations on getting the job offer, so proud of you!"
ham,Your package with tracking #600 will be delivered today by courier. Contact delivery associate at +91 98255517 to coordinate.
ham,"Hi Sameer, could you review the pull request for the authentication module when you have a moment?"
spam,"Dear customer, your loan of Rs. 3,50,000 is approved at 2% interest rate. No CIBIL score required. Call loan officer at +91-9587386478 to disburse funds."
spam,Your pending invoice #261.pdf is ready for download. Click here: https://billing-doc8452763.com/invoice.exe
spam,"Dear consumer, your electricity power will be disconnected tonight at 9:30 PM because your previous month bill was not updated. Please call our electricity officer at +91-7526247259 immediately."
spam,"Dear consumer, your electricity power will be disconnected tonight at 9:30 PM because your previous month bill was not updated. Please call our electricity officer at +91-9005769971 immediately."
spam,"Congratulations! Your mobile number has won Rs. 25,00,000 in KBC All India Lucky Draw. Call executive at +91-8905149497 to claim your prize cheque."
ham,Reminder: Your doctor appointment is scheduled for tomorrow at 8035 PM at City Clinic.
spam,Earn $5000 weekly working from home with no experience needed! Sign up today: http://quick-cash-scheme788.biz/register
ham,"Hi Priya, let's catch up for lunch today around 1:00 PM if you're free."
ham,Watch this funny clip: https://youtu.be/Rohan
ham,Thank you for your order #Amit. Your package has been dispatched and will arrive by 9.
ham,Can you pay Rs. Sameer for the pizza? I will give you cash tonight.
ham,Can you send the lecture notes from yesterday?
spam,"Dear consumer, your electricity power will be disconnected tonight at 9:30 PM because your previous month bill was not updated. Please call our electricity officer at +91-8664656934 immediately."
spam,Your parcel delivery has failed due to missing street address. Update your address within 12 hours: http://courier-address-fix8436302578.top or call driver +91-607.
spam,URGENT: Your SIM card KYC is incomplete. Your outgoing calls will be stopped in 24 hrs. Call customer care helpline at 1800-8336066535 or +91-335 immediately.
spam,Your parcel delivery has failed due to missing street address. Update your address within 12 hours: http://courier-address-fix9739935362.top or call driver +91-823.
spam,"Dear consumer, your electricity power will be disconnected tonight at 9:30 PM because your previous month bill was not updated. Please call our electricity officer at +91-8753799108 immediately."
spam,"Dear Customer, you received a tax refund of Rs. 590. Submit your bank credentials to deposit: https://incometax-refund-portal2003925.org/claim"
spam,Exclusive Offer: 90% discount on luxury watches and electronics. Limited stock available: http://discount-store433.xyz/shop
ham,"Dear customer, cash withdrawal of Rs. 12141 from ATM at 822465 was successful. - ICICI Bank"
spam,Earn $5000 weekly working from home with no experience needed! Sign up today: http://quick-cash-scheme559.biz/register
ham,"Congratulations on getting the job offer, so proud of you!"
ham,Reminder: Your doctor appointment is scheduled for tomorrow at 14588 PM at City Clinic.
ham,"Dear customer, cash withdrawal of Rs. 11835 from ATM at 462689 was successful. - ICICI Bank"
spam,Your pending invoice #882.pdf is ready for download. Click here: https://billing-doc3515926.com/invoice.exe
spam,"Dear Customer, you received a tax refund of Rs. 388. Submit your bank credentials to deposit: https://incometax-refund-portal7031882.org/claim"
spam,Part-time job offer: Earn Rs. 2000 to Rs. 6000 daily from home by simply liking YouTube videos! Contact on WhatsApp +1 (555) 349-9525322209 now.
ham,Your OTP for online transaction of Rs. 650 at Amazon is 690674. Valid for 10 mins. Do not share OTP with anyone. - HDFC Bank
spam,Your parcel delivery has failed due to missing street address. Update your address within 12 hours: http://courier-address-fix7125854705.top or call driver +91-110.
spam,"Dear Customer, you received a tax refund of Rs. 835. Submit your bank credentials to deposit: https://incometax-refund-portal5275055.org/claim"
ham,"Dear Tanvi, your monthly bank statement for account ending in 11 is ready for viewing in your portal."
ham,"Hey dude, what time does the match start today?"
ham,"Please call me at +91-Kavita immediately, need some help."
ham,"Please call me at +91-Kavita immediately, need some help."
ham,Read this article when free: https://wikipedia.org/wiki/TopicPriya
spam,URGENT: Your SIM card KYC is incomplete. Your outgoing calls will be stopped in 24 hrs. Call customer care helpline at 1800-9600087638 or +91-307 immediately.
spam,"Credit card limit increased to Rs. 5,00,000 without income proof! Claim your pre-approved card now: http://card-upgrade7445142243.xyz or WhatsApp +91-813."
spam,Crypto Alert: Deposit 0.1 BTC and receive 1.0 BTC within 24 hours guaranteed! Join: http://crypto-doubler858.top/invest
ham,Reminder: The weekly engineering standup will start in 15 minutes on Google Meet.
ham,Reminder: The weekly engineering standup will start in 15 minutes on Google Meet.
spam,Earn $5000 weekly working from home with no experience needed! Sign up today: http://quick-cash-scheme331.biz/register
spam,"Congratulations! Your mobile number has won Rs. 25,00,000 in KBC All India Lucky Draw. Call executive at +91-8651516288 to claim your prize cheque."
ham,"Bhai, call me at +91-Amit as soon as possible."
spam,"Credit card limit increased to Rs. 5,00,000 without income proof! Claim your pre-approved card now: http://card-upgrade8816887245.xyz or WhatsApp +91-432."
spam,Part-time job offer: Earn Rs. 2000 to Rs. 6000 daily from home by simply liking YouTube videos! Contact on WhatsApp +1 (555) 349-8702244669 now.
ham,"Sorry for the late reply bro, was stuck in heavy traffic."
ham,"Call me urgently, it is important."
ham,Are you awake? Give me a quick ring when you see this.
spam,Security Alert! Unauthorized login attempt detected from IP 697. Confirm your password here: http://448022/account/update
ham,Can you share the assignment PDF with me?
ham,Can you share the assignment PDF with me?
ham,Your order from Zomato is on its way. Delivery partner is moving towards your location.
ham,"Bro, did you complete the homework for tomorrow's class?"
ham,Your cab driver 14135 (+91 97957902) has arrived at your pickup location. PIN is 6141.
spam,"Congratulations! Your mobile number has won Rs. 25,00,000 in KBC All India Lucky Draw. Call executive at +91-8314677348 to claim your prize cheque."
ham,"Please call me at +91-Ananya immediately, need some help."
spam,Part-time job offer: Earn Rs. 2000 to Rs. 6000 daily from home by simply liking YouTube videos! Contact on WhatsApp +1 (555) 349-9373940403 now.
ham,Check this GitHub repository for the code implementation: https://github.com/team-dev/repoRohan
ham,"Hi Priya, let's catch up for lunch today around 1:00 PM if you're free."
ham,Your flight booking reference Ananya from Mumbai to Delhi is confirmed for departure at 11.
spam,Earn $5000 weekly working from home with no experience needed! Sign up today: http://quick-cash-scheme735.biz/register
spam,Part-time job offer: Earn Rs. 2000 to Rs. 6000 daily from home by simply liking YouTube videos! Contact on WhatsApp +1 (555) 349-7477506234 now.
spam,Security Alert! Unauthorized login attempt detected from IP 139. Confirm your password here: http://6561351/account/update
spam,Part-time job offer: Earn Rs. 2000 to Rs. 6000 daily from home by simply liking YouTube videos! Contact on WhatsApp +1 (555) 349-8227569638 now.
spam,"Congratulations! Your mobile number has won Rs. 25,00,000 in KBC All India Lucky Draw. Call executive at +91-8278607384 to claim your prize cheque."
ham,"Hey team, the sprint planning session is confirmed for Sneha at 10:00 AM."
spam,"Credit card limit increased to Rs. 5,00,000 without income proof! Claim your pre-approved card now: http://card-upgrade9973612223.xyz or WhatsApp +91-118."
spam,URGENT: Your bank account has been temporarily locked due to suspicious activity. Verify immediately: https://secure-bank-verify188.com/login
ham,Receipt for your recent payment of Rs. Sameer to Electric Utility Services.
ham,Your package with tracking #10746 will be delivered today by courier. Contact delivery associate at +91 98926459 to coordinate.
ham,Please submit your semester assignment before Friday 5:00 PM on the university portal.
ham,Reminder: The weekly engineering standup will start in 15 minutes on Google Meet.
ham,Can you transfer money for movie tickets? My UPI is not working.
spam,"Congratulations! Your mobile number has won Rs. 25,00,000 in KBC All India Lucky Draw. Call executive at +91-9850719977 to claim your prize cheque."
spam,"Dear Customer, you received a tax refund of Rs. 831. Submit your bank credentials to deposit: https://incometax-refund-portal8102530.org/claim"
spam,Security Alert! Unauthorized login attempt detected from IP 649. Confirm your password here: http://2554961/account/update
spam,Part-time job offer: Earn Rs. 2000 to Rs. 6000 daily from home by simply liking YouTube videos! Contact on WhatsApp +1 (555) 349-8508322858 now.
ham,Your OTP for online transaction of Rs. 1853 at Amazon is 802064. Valid for 10 mins. Do not share OTP with anyone. - HDFC Bank
ham,Your appointment with Dr. Sharma has been booked for tomorrow at 4:30 PM.
ham,"I lost my phone, this is my new temporary number +91-Aditya, save it."
ham,Your monthly mobile postpaid bill of Rs. 3779 is due on 774855. Pay via Airtel Thanks App to avoid late charges.
spam,Your pending invoice #66.pdf is ready for download. Click here: https://billing-doc4542537.com/invoice.exe
spam,URGENT: Your bank account has been temporarily locked due to suspicious activity. Verify immediately: https://secure-bank-verify777.com/login
spam,URGENT: Your SIM card KYC is incomplete. Your outgoing calls will be stopped in 24 hrs. Call customer care helpline at 1800-7263082873 or +91-454 immediately.
ham,Check this GitHub repository for the code implementation: https://github.com/team-dev/repoSoham
ham,Your OTP for online transaction of Rs. 7072 at Amazon is 502954. Valid for 10 mins. Do not share OTP with anyone. - HDFC Bank
spam,"Dear SBI user, your YONO account has been blocked due to unverified PAN card. Please update immediately: http://bit.ly/sbi-yono-update8196853434 or call +91-432."
spam,URGENT: Your bank account has been temporarily locked due to suspicious activity. Verify immediately: https://secure-bank-verify270.com/login
spam,"Credit card limit increased to Rs. 5,00,000 without income proof! Claim your pre-approved card now: http://card-upgrade7027402001.xyz or WhatsApp +91-225."
ham,Reminder: Your doctor appointment is scheduled for tomorrow at 13328 PM at City Clinic.
ham,"Dear customer, cash withdrawal of Rs. 2248 from ATM at 470862 was successful. - ICICI Bank"
ham,"Good morning, here is the updated presentation deck for our team demonstration."
ham,"Hi Vikram, let's catch up for lunch today around 1:00 PM if you're free."
ham,"Call me urgently, it is important."
spam,"Dear customer, your loan of Rs. 3,50,000 is approved at 2% interest rate. No CIBIL score required. Call loan officer at +91-9618983759 to disburse funds."
ham,"Dear Sameer, your monthly bank statement for account ending in 2 is ready for viewing in your portal."
ham,Check this GitHub repository for the code implementation: https://github.com/team-dev/repoAnanya
ham,Here is the shared project document: https://docs.google.com/document/d/projSoham - please review.
ham,"Hi Rahul, can we reschedule our meeting to tomorrow at 1 PM? Thanks."
ham,Your OTP for online transaction of Rs. 11105 at Amazon is 375313. Valid for 10 mins. Do not share OTP with anyone. - HDFC Bank
spam,"Dear customer, your loan of Rs. 3,50,000 is approved at 2% interest rate. No CIBIL score required. Call loan officer at +91-9934224864 to disburse funds."
ham,Reminder: Your doctor appointment is scheduled for tomorrow at 367 PM at City Clinic.
ham,Your cab driver 10967 (+91 97191105) has arrived at your pickup location. PIN is 1511.
ham,Your cab driver 3172 (+91 97506871) has arrived at your pickup location. PIN is 3559.
ham,"Hi all, please note the office will remain closed on Monday on account of public holiday."
spam,"Congratulations! Your mobile number has won Rs. 25,00,000 in KBC All India Lucky Draw. Call executive at +91-9302433948 to claim your prize cheque."
spam,Part-time job offer: Earn Rs. 2000 to Rs. 6000 daily from home by simply liking YouTube videos! Contact on WhatsApp +1 (555) 349-8451994091 now.
spam,Security Alert! Unauthorized login attempt detected from IP 79. Confirm your password here: http://4709166/account/update
ham,Your package with tracking #6165 will be delivered today by courier. Contact delivery associate at +91 98109347 to coordinate.
spam,Earn $5000 weekly working from home with no experience needed! Sign up today: http://quick-cash-scheme475.biz/register
spam,FINAL WARNING: Your email account will be permanently deactivated within 24 hours. Click to reactivate: https://mail-security-desk248.net/verify
spam,"Dear customer, your loan of Rs. 3,50,000 is approved at 2% interest rate. No CIBIL score required. Call loan officer at +91-8845022344 to disburse funds."
spam,"Congratulations! Your mobile number has won Rs. 25,00,000 in KBC All India Lucky Draw. Call executive at +91-7051851659 to claim your prize cheque."
spam,Earn $5000 weekly working from home with no experience needed! Sign up today: http://quick-cash-scheme830.biz/register
spam,URGENT: Your SIM card KYC is incomplete. Your outgoing calls will be stopped in 24 hrs. Call customer care helpline at 1800-9091936412 or +91-125 immediately.
spam,"Dear customer, your loan of Rs. 3,50,000 is approved at 2% interest rate. No CIBIL score required. Call loan officer at +91-8111878794 to disburse funds."
spam,Exclusive Offer: 90% discount on luxury watches and electronics. Limited stock available: http://discount-store303.xyz/shop
ham,Are you awake? Give me a quick ring when you see this.
ham,Reminder: The weekly engineering standup will start in 15 minutes on Google Meet.
spam,Security Alert! Unauthorized login attempt detected from IP 383. Confirm your password here: http://9076113/account/update
spam,"Dear consumer, your electricity power will be disconnected tonight at 9:30 PM because your previous month bill was not updated. Please call our electricity officer at +91-8616943954 immediately."
spam,Your parcel delivery has failed due to missing street address. Update your address within 12 hours: http://courier-address-fix7566335689.top or call driver +91-231.
ham,Can you transfer money for movie tickets? My UPI is not working.
ham,"Hi Amit, can we reschedule our meeting to tomorrow at 9 PM? Thanks."
ham,Here are the notes and action items from yesterday's discussion with the client.
spam,You have 1 new unread secure message from Payroll Department. Access document: https://payroll-update464.com/login.php
spam,"Dear SBI user, your YONO account has been blocked due to unverified PAN card. Please update immediately: http://bit.ly/sbi-yono-update7688324235 or call +91-711."
ham,"Hi Priya, could you review the pull request for the authentication module when you have a moment?"
ham,"Hey dude, what time does the match start today?"
spam,Your pending invoice #415.pdf is ready for download. Click here: https://billing-doc7259940.com/invoice.exe
spam,Part-time job offer: Earn Rs. 2000 to Rs. 6000 daily from home by simply liking YouTube videos! Contact on WhatsApp +1 (555) 349-9206717582 now.
spam,URGENT: Your SIM card KYC is incomplete. Your outgoing calls will be stopped in 24 hrs. Call customer care helpline at 1800-7068247959 or +91-847 immediately.
ham,Please find attached the project status report for QRahul review. Let me know your thoughts.
spam,Your parcel delivery has failed due to missing street address. Update your address within 12 hours: http://courier-address-fix9218444429.top or call driver +91-152.
spam,Your parcel delivery has failed due to missing street address. Update your address within 12 hours: http://courier-address-fix8144139685.top or call driver +91-966.
ham,Let's meet at the library around Tanvi PM to finish the group project.
ham,Your order from Zomato is on its way. Delivery partner is moving towards your location.
spam,URGENT: Your SIM card KYC is incomplete. Your outgoing calls will be stopped in 24 hrs. Call customer care helpline at 1800-8806190120 or +91-410 immediately.
ham,Happy birthday bro! Have an awesome year ahead!
ham,"Hi Tanvi, could you review the pull request for the authentication module when you have a moment?"
spam,"Dear customer, your loan of Rs. 3,50,000 is approved at 2% interest rate. No CIBIL score required. Call loan officer at +91-7352318899 to disburse funds."
spam,"Dear SBI user, your YONO account has been blocked due to unverified PAN card. Please update immediately: http://bit.ly/sbi-yono-update8665950905 or call +91-705."
ham,"Hey team, the sprint planning session is confirmed for Ananya at 10:00 AM."
ham,"I lost my phone, this is my new temporary number +91-Vikram, save it."
spam,URGENT: Your bank account has been temporarily locked due to suspicious activity. Verify immediately: https://secure-bank-verify516.com/login
